question,answer_agent,answer_orig,tool_calls,cost,document
What's the best way to get my questions answered during the live sessions instead of typing in chat?,"Based on the FAQ, here's the best way to get your questions answered during live sessions:

**Use Slido instead of chat!** 

During live sessions and office hours:
- Questions should be submitted through **Slido** (the link is pinned in the chat when the session goes live)
- **Don't post questions in the regular chat** - they may be missed if the room is very active

The live sessions are broadcast on YouTube Live, and Slido is the designated platform for submitting questions that the instructors and TAs will see and answer.

This is much more effective than typing in chat because Slido helps organize questions and ensures they don't get lost in the activity of a busy chat!","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': {'query': 'live sessions questions get answers speaking chat'}}]",0.003419,489dd1c9d9
What resources should I check out when starting the LLM Zoomcamp course?,"Great question! Here are the key resources you should check out when starting the LLM Zoomcamp course:

## Essential Starting Resources

1. **Course Documentation**
   - [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
   - [General Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)

2. **Course GitHub Repository**
   - [LLM Zoomcamp GitHub repo](https://github.com/DataTalksClub/llm-zoomcamp) - Contains lesson materials, notebooks, code, and homework instructions

3. **Course Management Platform**
   - [LLM Zoomcamp course platform](https://courses.datatalks.club/llm-zoomcamp-2026/) - For tracking syllabus, deadlines, homework, and your progress

4. **Community Channels**
   - [Telegram channel](https://t.me/llm_zoomcamp) - For announcements
   - Course Slack channel - For technical discussion and questions

## Recommended Weekly Workflow

1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions on GitHub
4. Submit your answers through the course platform before the deadline

## Additional Resources
- Check out [previous capstone projects](https://courses.datatalks.club/llm-zoomcamp-2025/projects) to understand the expected scope and quality
- If you're concerned about costs, review the [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives) - you don't need to pay for OpenAI to complete the course!

You can start whenever you want since all videos and materials are available. The deadlines are just listed in the course platform for tracking purposes.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': {'query': 'LLM Zoomcamp course starting resources'}}]",0.004768,04919992b3
Can I begin the course whenever I want or are there specific start dates I need to follow?,"Based on the FAQ, **you can start the course whenever you want!** There are no specific start dates you need to follow.

Here are the key points:

- **Self-paced flexibility**: The videos and GitHub materials are available, and you can begin working through them at your own pace
- **Deadlines still apply**: While you can start whenever you want, there are deadlines listed in the course management platform that you'll need to meet for homework submissions
- **No confirmation email needed**: You don't need to wait for a confirmation email to start learning

The typical workflow is:
1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers through the course platform before the deadline

So you have the flexibility to begin whenever works best for you, but keep in mind that deadlines do exist for submitting your homework assignments!","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': {'query': 'course start dates when can I begin'}}]",0.003475,04919992b3
What's the typical week-to-week process I should follow to get through the course material?,"Based on the FAQ, here's the **typical week-to-week process** you should follow to get through the course material:

## Weekly Workflow:

1. **Watch the lesson videos** - Start each week by watching the lesson videos to learn the concepts.

2. **Work through lesson notebooks/code** - Go through the accompanying notebooks and code examples from the GitHub repository to practice what you learned.

3. **Read the homework instructions** - Check the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) for detailed homework instructions.

4. **Submit your answers** - Complete the homework assignments and submit your answers through the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/) before the deadline.

## Key Resources:
- Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
- Check the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)
- Use the [GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) for notebooks, code, and homework

## Important Note:
Watch out for homework marked as **`[DRAFT]`** in the course platform - these are still being finalized and the content may change. Only work on homework once the form is open AND the draft tag is removed.

You can start whenever you want, and the deadlines are clearly listed in the course management platform!","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': {'query': 'weekly process course material'}}]",0.004452,04919992b3
Where do I find the homework assignments and what's the general format for completing them?,"Based on the FAQ, here's where to find homework assignments and how to complete them:

## Where to Find Homework

Homework assignments are available in **two locations**:

1. **Course GitHub Repository** - Contains the detailed homework instructions and context
   - For Module 1 (2026 cohort): [Module 1 homework instructions](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md)

2. **Course Management Platform** - Used for submission and tracking deadlines

**Important tip:** The GitHub instructions often contain important extra context, so always check there for complete information!

## General Format for Completing Homework

Here are key guidelines:

- **Follow the lesson workflow**: Homework typically applies the same concepts from the lessons but with a different dataset or slightly modified task
- **Read the GitHub instructions carefully**: Don't rely solely on the course platform page
- **Answer format**: For multiple-choice questions, if your numeric answer is close to one of the options, choose the closest one. Small differences can occur due to:
  - Slightly different filtering
  - Different dataset versions
  - Floating-point/rounding differences
  - Different model/provider behavior

- **Check the status**: Make sure the homework is ready before working on it—it should NOT have `[DRAFT]` in the title and the submission form should be open on the course platform

If you have questions about homework, ask in Slack with your code or command output (as text, not screenshots) following the asking questions guidelines.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': {'query': 'where to find homework'}}]",0.005945,04919992b3
"How are the homework assignments different from the lesson materials, and when do I need to submit them?","Based on the FAQ, here's what you need to know about homework assignments:

## How Homework Differs from Lesson Materials

**Homework follows a similar workflow to lessons, but:**
- It uses a **different dataset** than the lesson materials
- It asks you to **apply the same concepts in a slightly different way**
- The homework is designed to reinforce the lessons you learned

## Finding Homework Assignments

- Homework questions are available in two places:
  - The **course GitHub repository** (which contains important extra context)
  - The **course management platform**

## Submission Deadlines

- **Deadlines are listed on the course management platform** at [courses.datatalks.club](https://courses.datatalks.club/llm-zoomcamp-2026/)
- You submit answers **through the course platform**

## Before You Start

⚠️ **Important:** Make sure the homework is ready before starting:
- The homework form must be **open on the course platform**
- The homework title must **NOT contain `[DRAFT]`**

If it says `[DRAFT]`, the content can still change, so working on it in advance is at your own risk.

## Recommended Workflow

1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions (especially on GitHub for extra context)
4. Submit your answers through the course platform before the deadline

Good luck with your assignments!","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': {'query': 'homework assignments different from lesson materials'}}]",0.005603,04919992b3
How do I find myself on the leaderboard if I can't see my name?,"Great question! According to the FAQ:

**To find yourself on the leaderboard:**

1. **Look for a ""Jump to your record on the leaderboard"" link** - Click on this link and it will take you directly to your entry on the leaderboard.

2. **Check your display name** - When you set up your account, you're automatically assigned a random name (like ""Lucid Elbakyan""). To see what your assigned name is:
   - Click on the **""Edit Course Profile""** button
   - Your **first field** shows your nickname/display name - this is what appears on the leaderboard
   - You can change this to your Slack username, GitHub username, or any other nickname if you prefer

This should help you locate yourself on the leaderboard easily!","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': {'query': 'leaderboard find name not visible'}}]",0.003493,c2903069a0
What's the random name assigned to me when I create my account?,"Based on the FAQ, when you create your account, you are automatically assigned a random name such as **""Lucid Elbakyan.""** 

If you want to see what your assigned random name is, you can click on the ""Edit Course Profile"" button. The random name appears as your display name, though you can change it to your Slack username, GitHub username, or any other nickname of your choice if you prefer.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': {'query': 'random name account creation'}}]",0.003460,c2903069a0
Where can I change my display name on the leaderboard?,"Based on the FAQ, here's how to change your display name on the leaderboard:

1. **Click on the ""Edit Course Profile"" button**
2. In the **First field**, you can change your nickname/displayed name (this is your display name on the leaderboard)

You can change it to:
- Your Slack username
- Your GitHub username
- Any other nickname of your choice
- This is also useful if you want to remain anonymous

So essentially, you manage your leaderboard display name through your Course Profile settings. If you need to find your current entry on the leaderboard first, you can click the ""Jump to your record on the leaderboard"" link.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': {'query': 'change display name leaderboard'}}]",0.00355,c2903069a0
Do I need to update my official name to get it on my certificate instead of the random one?,"Yes! You do need to update your official name to get it on your certificate. Here's what you need to do:

When you first set up your account, you're automatically assigned a random name (like ""Lucid Elbakyan""). To have your actual name appear on your certificate instead:

1. Click on the **""Edit Course Profile""** button
2. In the **second field**, enter your **official name as it appears in your identification documents** (passport, national ID card, driver's license, etc.)
3. This is mandatory if you don't want the random name on your certificate

The first field is your display/nickname (which you can use for your Slack username, GitHub handle, or any other nickname if you want to remain anonymous), but only the second field—your official name—is what will appear on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': {'query': 'certificate name update official'}}]",0.003408,c2903069a0
How do I make sure my real name appears on my certificate rather than the auto-generated username?,"Perfect! I found the information you need. Here's how to ensure your real name appears on your certificate:

**To update your name for your certificate:**

1. Click on the **""Edit Course Profile""** button
2. You'll see two fields:
   - **First field:** This is your nickname/display name that appears on the leaderboard. You can change this to your Slack username, GitHub username, or any other nickname if you prefer—this is useful if you want to remain anonymous on the leaderboard.
   - **Second field:** Change this to your **official name as it appears in your identification documents** (passport, national ID card, driver's license, etc.). **This is mandatory if you don't want the auto-generated name on your certificate. The name you enter here is what will appear on your Certificate!**

So the key is to make sure you fill in that second field with your official name. This name will be the one that appears on your certificate, while you can keep your display name as whatever you prefer for the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': {'query': 'certificate real name auto-generated username'}}]",0.003768,c2903069a0
