question,answer_llm,answer_orig,document
Where can I find the YouTube link for the live office hours sessions?,"Based on the course information provided, here's where you can find the YouTube link for live office hours sessions:

**The YouTube link for live office hours is posted in:**
1. **Announcements channel on Telegram and Slack** - The video URL should be posted here before the session begins
2. **DataTalksClub YouTube Channel** - You can watch live directly on the [DataTalksClub YouTube Channel](https://www.youtube.com/c/DataTalksClub)

**Additional tips:**
- Live sessions are announced separately when they happen (there aren't separate sessions for every module by default)
- During live sessions, you can submit questions via **Slido** (the link is pinned in the chat when live)
- Don't post questions in the chat as they may be missed if the room is very active

So check your course's Telegram/Slack announcements channel first for the specific link, or head directly to the DataTalksClub YouTube channel to find the live stream!","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How do I submit questions during the workshop sessions if I'm watching on YouTube?,"# How to Submit Questions During YouTube Workshop Sessions

Based on the course information, here's how to submit questions if you're watching on YouTube:

**Use Slido to submit your questions.** The Slido link will be pinned in the chat when the live session begins.

**Important:** Please don't post questions in the YouTube chat, as they may be missed if the room is very active. Slido is the designated platform for question submission during these sessions.

The workshop videos are streamed on the DataTalks.Club [YouTube Channel](https://www.youtube.com/c/DataTalksClub), and the video URL is typically posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before the session starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Why isn't the Zoom link shared with students for these live events?,"# Answer

Based on the course information provided, the Zoom link is **not shared with students because the live events use a different participation model**.

Here are the key reasons:

1. **YouTube Live is the primary platform for students** - Instead of Zoom, students participate via **YouTube Live**, which is publicly accessible and doesn't require special credentials.

2. **Zoom is restricted to instructors/presenters only** - The Zoom link is reserved exclusively for instructors, presenters, and TAs who are actively running the session.

3. **Questions are collected through Slido** - Students submit questions via **Slido** (with the link pinned in chat during the livestream) rather than through the Zoom meeting itself.

**How to access live sessions:**
- Watch on **YouTube Live** (announcement posted to Telegram and Slack before it begins)
- Watch on the **DataTalksClub YouTube Channel**
- Submit questions via **Slido** (not in chat, as messages may be missed in active rooms)

This setup allows students to participate asynchronously and flexibly without needing direct Zoom access, while keeping the sessions organized and manageable for the instructors.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Which platform should I use to watch the office hours - is YouTube the only option?,"Based on the context provided, **YouTube is not the only option** to watch office hours.

Here are the platforms available:

1. **YouTube Live** - You can watch live on the DataTalks.Club [YouTube Channel](https://www.youtube.com/c/DataTalksClub)

2. **Zoom** - There are Zoom sessions, though the Zoom link is only published to instructors/presenters/TAs. Students participate via YouTube Live instead.

3. **Announcements** - The video URL is posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before the sessions begin.

So while **YouTube Live is the primary platform for students to watch**, you can also find links and information about office hours through Telegram and Slack announcements.

**Note:** When participating, submit your questions to **Slido** (link pinned in chat when live) rather than the chat, as questions in chat may be missed if the room is very active.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What's the best way to get my questions answered during the live sessions instead of typing in chat?,"# Best Way to Get Questions Answered During Live Sessions

According to the course guidelines, **use Slido instead of typing in chat**. 

Here's what you need to know:

- **Slido link** is pinned in the chat when the live session begins
- **Don't post questions in chat** — they may be missed if the room is very active
- Submit your questions through Slido for the best chance of having them answered

This approach ensures your question is properly tracked and more likely to be seen by the instructors/presenters rather than getting lost in active chat discussions.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What resources should I check out when starting the LLM Zoomcamp course?,"# Starting the LLM Zoomcamp Course

When starting the LLM Zoomcamp course, you should check out these key resources:

1. **[LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)** - Official course documentation

2. **[General Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)** - Information about how Zoomcamps work

3. **[LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)** - Contains lesson notebooks, code, and homework instructions

4. **[Course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/)** - For tracking syllabus, deadlines, homework, and your progress

Once you're set up, follow this typical workflow:
- Watch the lesson videos
- Work through the lesson notebooks/code
- Read the homework instructions on GitHub
- Submit answers through the course platform before the deadline

You can start whenever you want—the videos and materials are available now, and deadlines are listed in the course platform. No confirmation email is needed to begin!","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
Can I begin the course whenever I want or are there specific start dates I need to follow?,"# Can I begin the course whenever I want or are there specific start dates I need to follow?

**Yes, you can start whenever you want!** 

The videos and GitHub materials are available at any time, so you can begin learning at your own pace. However, there are **specific deadlines** that you need to be aware of if you want to submit homework and earn a certificate.

Here's what you need to know:

1. **Self-paced learning**: You can watch videos and work through materials anytime
2. **Deadlines**: The homework and project deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/), and you'll need to submit your work before these deadlines
3. **Certificate requirement**: To receive a certificate, you must:
   - Submit your project while submissions are still open
   - Complete peer-reviews of 3 capstone projects during the active course period (peer-reviewing only happens while the course cohort is running)

So while you have flexibility in when you start learning, you'll need to follow the deadlines if you want homework credit or a certificate.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What's the typical week-to-week process I should follow to get through the course material?,"# Weekly Course Process

Based on the course materials, here's the typical week-to-week workflow you should follow:

## Standard Weekly Process:

1. **Watch the lesson videos** - Start each week by viewing the instructional videos
2. **Work through the lesson notebooks/code** - Practice with the provided code examples and materials
3. **Read the homework instructions** - Review the homework instructions on GitHub
4. **Submit your answers** - Complete and submit your homework through the course platform before the deadline

## Additional Resources:

To get started, make sure you review:
- [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
- [General Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)
- [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)

## Important Notes:

- **Deadlines**: Check the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/) for specific deadline dates
- **Self-paced flexibility**: You can start whenever you want since videos and materials are available
- **Homework**: While not mandatory, homework is recommended for reinforcing concepts and earns points toward leaderboard ranking

This structured approach will help you progress through the course material effectively!","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
Where do I find the homework assignments and what's the general format for completing them?,"# Homework Assignments Location & Format

## Where to Find Homework

Homework assignments are available in **two places**:

1. **Course GitHub Repository** - Contains the detailed instructions and materials
2. **Course Management Platform** - Useful for submission and tracking deadlines

For Module 1 (2026 cohort), specifically use:
- [Module 1 cohort materials](https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag)
- [Module 1 homework instructions](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md)

⚠️ **Important**: The GitHub homework instructions often contain important extra context beyond what's on the course platform, so be sure to check both sources.

## General Format & Guidelines

- Homework questions follow the lesson workflow but typically use a different dataset or apply concepts in slightly different ways
- **Numeric answers** don't need to match options exactly—if your answer is close, choose the closest option (small differences can come from filtering variations, dataset versions, rounding, or model behavior)
- If your answer is significantly different from all options, re-check the question and dataset version

## Before Getting Started

Make sure the homework is **ready** by verifying:
- The homework form is open on the course management platform
- The homework title does **not** contain `[DRAFT]`

For overall course tracking, use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"How are the homework assignments different from the lesson materials, and when do I need to submit them?","# Homework Assignments: Key Differences and Submission Details

## How Homework Differs from Lesson Materials

Based on the course context, homework assignments are **similar to the lesson flow, but use a different dataset or slightly different task**. Here's the typical workflow:

1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers through the course platform

## When to Submit

- **Submission Deadline**: You must submit your answers **before the deadline** listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/)
- You can start whenever you want, as videos and GitHub materials are available year-round

## Important Notes About Homework Status

⚠️ **Check if homework is ready before starting:**
- The homework is only ready when **both** conditions are met:
  - The homework form is open on the course management platform
  - The homework title does **NOT** contain `[DRAFT]`
- If the title contains `[DRAFT]`, the content can still change, so work on it at your own risk

## If You Need Clarification

- Always read the **GitHub homework instructions** first (not just the course platform page)
- If still unclear, ask in Slack with code or command output as text (not screenshots)
- For Module 1 specifically, refer to the [Module 1 homework instructions on GitHub](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md)","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find myself on the leaderboard if I can't see my name?,"# Finding Yourself on the Leaderboard

If you can't see your name on the leaderboard, here's what to do:

1. **Click the ""Jump to your record on the leaderboard"" link** - This will take you directly to your entry on the leaderboard.

2. **Check your Display name** - When you set up your account, you were automatically assigned a random name (like ""Lucid Elbakyan""). To see what your current display name is:
   - Click on the **""Edit Course Profile""** button
   - Your nickname/displayed name is shown in the first field
   - You can change this to your Slack username, GitHub username, or any other nickname of your choice if you prefer

So the quickest way to find yourself is to use the ""Jump to your record on the leaderboard"" link - you don't need to know your name beforehand!","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What's the random name assigned to me when I create my account?,"# Random Name Assignment

When you create your account, you are automatically assigned a **random name** (the context gives ""Lucid Elbakyan"" as an example).

You can find your assigned random name by:
1. Clicking the **""Jump to your record on the leaderboard""** link to find your entry on the leaderboard, OR
2. Clicking the **""Edit Course Profile""** button to see your Display name

If you prefer, you can change this random name to a nickname of your choice (such as your Slack username, GitHub username, or any other nickname) in the first field of your Course Profile.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I change my display name on the leaderboard?,"# Changing Your Display Name on the Leaderboard

To change your display name on the leaderboard, follow these steps:

1. Click on the **""Edit Course Profile""** button
2. In the **first field**, you can change your nickname/displayed name to whatever you prefer

This first field is your **nickname/displayed name** that appears on the leaderboard. You can change it to:
- Your Slack username
- Your GitHub username
- Any other nickname of your choice
- Or keep it anonymous if you prefer

**Note:** There's also a second field in your course profile where you can enter your official name (as it appears in your identification documents). This is important because the official name is what will appear on your certificate, not the display name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Do I need to update my official name to get it on my certificate instead of the random one?,"# Answer

Yes, you do need to update your official name if you want it on your certificate instead of the random one assigned to your account.

Here's how to do it:

1. Click on the **""Edit Course Profile""** button
2. In the **second field**, enter your official name as it appears in your identification documents (passport, national ID card, driver's license, etc.)

This official name is what will appear on your certificate. The first field is just your display/nickname, which you can change if you want to be known by a different name on the leaderboard, but only the official name from the second field will appear on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
How do I make sure my real name appears on my certificate rather than the auto-generated username?,"# Answer

To make sure your real name appears on your certificate rather than the auto-generated username, follow these steps:

1. Click on the **""Edit Course Profile""** button

2. In the **Second field**, enter your official name as it appears in your identification documents (passport, national ID card, driver's license, etc.)

3. This field is **mandatory** if you don't want the auto-generated name (like ""Lucid Elbakyan"") to appear on your certificate

**Important:** Your official name entered in the second field is what will appear on your Certificate, so make sure to use the name from your official identification documents.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Do I need to join a live cohort to earn a certificate in this course?,"# Answer

**Yes, you need to join a live cohort to earn a certificate in this course.**

According to the course information, certificates are only awarded to students who complete the course with a ""live"" cohort. Self-paced mode does not qualify for a certificate.

The main reason is that you need to **peer-review 3 capstone projects** after submitting your own project, and peer-reviewing can only happen while the course is actively running—after the submission form closes and the peer-review list is compiled.

However, if you've just discovered the course, you can still join, but you'll need to submit your project while submissions are still being accepted to be eligible for the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
What happens if I just do the self-paced version - can I still get certified?,"# Answer

No, you cannot get certified if you only do the self-paced version of the course.

According to the course policy, **certificates are only awarded if you complete the course with a ""live"" cohort**. The self-paced mode does not include certification.

The main reason for this requirement is that **you need to peer-review 3 capstone projects** as part of the certification process, and peer-reviewing can only happen while the course is actively running—after submissions are closed and the peer-review list is compiled.

However, you can still complete the course content and learn in self-paced mode; you just won't receive an official certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why can't I get a certificate if I complete the course on my own schedule?,"# Answer

You can't get a certificate if you complete the course on your own schedule because **you need to peer-review 3 capstones after submitting your project, and peer-reviews can only happen when the course is actively running with a live cohort**.

Here's why this matters:

- Peer-reviews can only be completed **at the time the course is running** — specifically after the peer-review form is closed and the peer-review list is compiled
- Once the course cohort ends, there's no opportunity to complete these required peer-reviews
- Certificates are **only awarded for completing the course with a ""live"" cohort** — self-paced mode does not qualify for certification

So while you can follow the course materials at your own pace, getting a certificate requires participating in the live cohort experience and completing the peer-review component when the course is active.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is peer-reviewing capstone projects required for the certificate?,"# Answer

Yes, peer-reviewing capstone projects is **required** for the certificate.

According to the course information:

- You must peer-review **3 capstone projects** from fellow students after submitting your own project
- You are responsible for grading projects from three fellow students
- **Not complying with this peer-review requirement means you may fail to achieve the certificate** at the end of the course

This peer-review requirement is also why certificates are only available in ""live"" cohort mode, not in self-paced mode—peer-reviewing can only happen during the active course period when the peer-review form is open and the review list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
When exactly can I do the peer-review process for the capstone projects?,"Based on the provided context, here's when you can do the peer-review process:

**You can peer-review projects after the project submission deadline has passed**, specifically when:

1. The submission deadline closes
2. Projects are assigned to you for evaluation (this happens after the form is closed and the peer-review list is compiled)

Key points to remember:

- You **cannot review projects before the peer-review list is released**
- You cannot choose which projects to review - they will be randomly assigned to you
- You must review **3 capstone projects** from fellow students who have also submitted
- The peer-review can only happen during the time the course is running (this is why self-paced mode participants cannot get certificates)

So in summary: **The peer-review window opens after all project submissions close and the peer-review assignments are released** - you won't be able to review until this official list is compiled and distributed to you.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I need to complete all the homeworks to get a certificate for this course?,"Based on the course context provided, **no, you do not need to complete all the homeworks to get a certificate**.

According to the FAQ:

> ""Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.""

So to summarize:
- **Homeworks are optional** (not mandatory)
- **The Capstone project is required** to receive a certificate
- Homeworks are recommended for learning and reinforce concepts
- Homework points contribute to your leaderboard ranking, but don't determine certificate eligibility","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
